gene	product	Total_all	8h_all	10h_all	12h_all	14h_all	16h_all	18h_all	20h_all	Total_fimo	8h_fimo	10h_fimo	12h_fimo	14h_fimo	16h_fimo	18h_fimo	20h_fimo	Total_pred	8h_pred	10h_pred	12h_pred	14h_pred	16h_pred	18h_pred	20h_pred	Total_chip	8h_chip	10h_chip	12h_chip	14h_chip	16h_chip	18h_chip	20h_chip
"SVEN_0472"	"hypothetical protein"	9	1	2	3	0	0	0	3	0	0	0	0	0	0	0	0	5	0	1	2	0	0	0	2	4	1	1	1	0	0	0	1
"SVEN_0915"	"Na+ or H+ antiporter"	9	1	2	0	0	2	2	2	0	0	0	0	0	0	0	0	4	0	1	0	0	1	1	1	5	1	1	0	0	1	1	1
"SVEN_1446"	"putative integral membrane transporter"	9	0	0	3	3	0	3	0	1	0	0	0	1	0	0	0	8	0	0	3	2	0	3	0	0	0	0	0	0	0	0	0
"SVEN_3105"	"hypothetical protein"	9	0	1	2	1	1	2	2	0	0	0	0	0	0	0	0	9	0	1	2	1	1	2	2	0	0	0	0	0	0	0	0
"SVEN_3763"	"hypothetical protein"	9	1	2	2	0	2	0	2	0	0	0	0	0	0	0	0	4	0	1	1	0	1	0	1	5	1	1	1	0	1	0	1
"SVEN_4657"	"Predicted membrane protein hemolysin III"	9	0	1	0	3	1	4	0	2	0	0	0	1	0	1	0	7	0	1	0	2	1	3	0	0	0	0	0	0	0	0	0
"SVEN_4783"	"ATP-binding protein"	9	1	0	0	3	1	2	2	1	0	0	0	1	0	0	0	3	0	0	0	1	0	1	1	5	1	0	0	1	1	1	1
"SVEN_3573"	"hypothetical protein"	9	0	0	0	0	1	4	4	1	0	0	0	0	0	1	0	8	0	0	0	0	1	3	4	0	0	0	0	0	0	0	0
"SVEN_6931"	"hypothetical protein"	9	0	0	4	0	1	4	0	1	0	0	0	0	0	1	0	8	0	0	4	0	1	3	0	0	0	0	0	0	0	0	0
"SVEN_2302"	"hypothetical protein"	9	1	0	0	2	2	2	2	0	0	0	0	0	0	0	0	4	0	0	0	1	1	1	1	5	1	0	0	1	1	1	1
"SVEN_4859"	"Transcriptional regulator%2C FUR family"	9	1	2	0	3	0	3	0	0	0	0	0	0	0	0	0	5	0	1	0	2	0	2	0	4	1	1	0	1	0	1	0
"SVEN_6823"	"hypothetical protein"	9	1	1	1	3	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	1	1	1	2	1	2	0
"SVEN_3572"	"hypothetical protein"	9	0	2	2	0	2	3	0	1	0	0	0	0	0	1	0	4	0	1	1	0	1	1	0	4	0	1	1	0	1	1	0
"SVEN_4602"	"putative secreted protein"	9	1	2	0	2	2	0	2	0	0	0	0	0	0	0	0	4	0	1	0	1	1	0	1	5	1	1	0	1	1	0	1
"SVEN_4437"	"putative polysaccharide deacetylase"	9	0	2	3	0	0	0	4	0	0	0	0	0	0	0	0	5	0	1	2	0	0	0	2	4	0	1	1	0	0	0	2
"SVEN_2762"	"hypothetical protein"	9	0	0	2	2	1	2	2	0	0	0	0	0	0	0	0	9	0	0	2	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_0338"	"Glutaryl-CoA dehydrogenase"	8	0	1	3	0	1	3	0	0	0	0	0	0	0	0	0	8	0	1	3	0	1	3	0	0	0	0	0	0	0	0	0
"SVEN_5395"	"regulatory protein"	8	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	8	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0
"SVEN_1885"	"Transcriptional regulator%2C TetR family"	8	1	1	1	2	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	1	1	1	1	1	1	1
"SVEN_0611"	"hypothetical protein"	8	0	1	2	2	1	2	0	0	0	0	0	0	0	0	0	8	0	1	2	2	1	2	0	0	0	0	0	0	0	0	0
"SVEN_3563"	"hypothetical protein"	8	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	2	0	0	0	3	0	1	1	1	0	0	0
"SVEN_5327"	"Adenosine deaminase"	8	0	1	3	0	1	3	0	0	0	0	0	0	0	0	0	8	0	1	3	0	1	3	0	0	0	0	0	0	0	0	0
"SVEN_2561"	"acyl-CoA thioesterase II"	8	0	0	2	1	1	2	2	0	0	0	0	0	0	0	0	8	0	0	2	1	1	2	2	0	0	0	0	0	0	0	0
"SVEN_4325"	"protein YajQ"	8	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	4	0	1	1	1	1	0	0	4	0	1	1	1	1	0	0
"SVEN_6135"	"membrane transport protein"	8	0	1	2	2	1	0	2	0	0	0	0	0	0	0	0	8	0	1	2	2	1	0	2	0	0	0	0	0	0	0	0
"SVEN_5692"	"ABC transporter ATP-binding protein"	8	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	4	0	0	0	1	1	1	1	4	0	0	0	1	1	1	1
"SVEN_5666"	"hypothetical protein"	8	0	1	0	2	1	2	2	0	0	0	0	0	0	0	0	8	0	1	0	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_0765"	"hypothetical protein"	8	0	0	0	3	2	0	3	0	0	0	0	0	0	0	0	5	0	0	0	2	1	0	2	3	0	0	0	1	1	0	1
"SVEN_0235"	"putative secreted protein"	8	0	1	2	2	1	2	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	1	0	5	0	1	1	1	1	1	0
"SVEN_4759"	"Dipeptide-binding ABC transporter%2C periplasmic substrate-binding component"	8	0	2	2	0	2	2	0	0	0	0	0	0	0	0	0	4	0	1	1	0	1	1	0	4	0	1	1	0	1	1	0
"SVEN_3854"	"putative ATP-dependent RNA helicase"	8	0	0	3	0	2	3	0	0	0	0	0	0	0	0	0	5	0	0	2	0	1	2	0	3	0	0	1	0	1	1	0
"SVEN_1734"	"hypothetical protein"	8	0	0	0	2	0	3	3	0	0	0	0	0	0	0	0	5	0	0	0	1	0	2	2	3	0	0	0	1	0	1	1
"SVEN_2675"	"hypothetical protein"	8	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	3	2	0	0	1	0	0	0	1
"SVEN_5394"	"Zn-dependent hydrolase%2C RNA-metabolising%2C CPSF 100 kDa analog"	8	0	1	4	0	0	3	0	0	0	0	0	0	0	0	0	8	0	1	4	0	0	3	0	0	0	0	0	0	0	0	0
"SVEN_0218"	"hypothetical protein"	8	0	0	2	1	1	2	2	0	0	0	0	0	0	0	0	8	0	0	2	1	1	2	2	0	0	0	0	0	0	0	0
"SVEN_7260"	"hypothetical protein"	8	0	1	1	2	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	1	1	2	1	2	0
"SVEN_1249"	"putative hydrolase"	8	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	4	0	0	1	1	1	1	0	4	0	0	1	1	1	1	0
"SVEN_4989"	"secreted protein"	8	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	2	4	0	0	0	0	0	2	2
"SVEN_4647"	"hypothetical protein"	8	0	1	0	0	1	3	3	0	0	0	0	0	0	0	0	8	0	1	0	0	1	3	3	0	0	0	0	0	0	0	0
"SVEN_2562"	"membrane transport protein"	8	1	0	0	0	0	4	3	1	0	0	0	0	0	1	0	4	0	0	0	0	0	2	2	3	1	0	0	0	0	1	1
"SVEN_0818"	"putative acyl-CoA dehydrogenase"	8	0	1	3	0	1	3	0	0	0	0	0	0	0	0	0	8	0	1	3	0	1	3	0	0	0	0	0	0	0	0	0
"SVEN_3816"	"hypothetical protein"	8	0	1	0	2	1	2	2	0	0	0	0	0	0	0	0	8	0	1	0	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_0644"	"putative secreted hydrolase"	7	0	1	2	0	1	3	0	1	0	0	0	0	0	1	0	6	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0
"SVEN_4256"	"Cold shock protein CspD"	7	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	1	4	1	1	1	0	0	0	1
"SVEN_5699"	"putative signal transduction protein with Nacht domain"	7	1	1	0	1	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	1	1	0	1	1	1	1
"SVEN_3942"	"hypothetical protein"	7	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0	7	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_5471"	"GTP-binding protein HflX"	7	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0	7	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_6439"	"putative transferase"	7	0	1	2	0	1	3	0	1	0	0	0	0	0	1	0	6	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0
"SVEN_5858"	"hypothetical protein"	7	0	0	2	2	1	2	0	0	0	0	0	0	0	0	0	7	0	0	2	2	1	2	0	0	0	0	0	0	0	0	0
"SVEN_3899"	"Phosphate transport system permease protein PstC"	7	0	1	2	1	1	0	2	0	0	0	0	0	0	0	0	7	0	1	2	1	1	0	2	0	0	0	0	0	0	0	0
"SVEN_7312"	"hypothetical protein"	7	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0	7	0	0	0	2	1	2	2	0	0	0	0	0	0	0	0
"SVEN_4965"	"hypothetical protein"	7	1	0	0	2	1	2	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	1	1	1	1
"SVEN_4860"	"Catalase"	7	1	0	2	0	0	2	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	1	4	1	0	1	0	0	1	1
"SVEN_1273"	"Ribosomal large subunit pseudouridine synthase A"	7	1	2	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	1	0	4	1	1	1	0	0	1	0
"SVEN_6054"	"hypothetical protein"	7	1	0	0	2	0	2	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	4	1	0	0	1	0	1	1
"SVEN_4081"	"putative Adenosine kinase"	7	0	1	1	2	1	1	1	1	0	0	0	1	0	0	0	6	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
"SVEN_4755"	"hypothetical protein"	7	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	3	3	1	1	0	0	0	0	1
"SVEN_1006"	"putative membrane protein"	7	1	2	0	2	0	0	2	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	1	4	1	1	0	1	0	0	1
"SVEN_1384"	"Transglycosylase domain protein"	7	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	2	3	1	0	0	0	0	1	1
"SVEN_4453"	"DNA-binding response regulator%2C LuxR family"	7	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0	7	0	0	0	0	1	3	3	0	0	0	0	0	0	0	0
"SVEN_2109"	"hypothetical protein"	7	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	1	4	1	1	1	0	0	0	1
"SVEN_2718"	"NADP-dependent malic enzyme"	7	0	1	2	0	0	2	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	1	4	0	1	1	0	0	1	1
"SVEN_1016"	"Transcriptional regulator%2C AsnC family"	7	0	1	2	1	1	2	0	0	0	0	0	0	0	0	0	7	0	1	2	1	1	2	0	0	0	0	0	0	0	0	0
"SVEN_6840"	"Excinuclease ABC subunit A"	7	1	0	2	2	0	2	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	1	0	4	1	0	1	1	0	1	0
"SVEN_1677"	"Glutamate synthase"	7	1	0	2	0	2	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	1	4	1	0	1	0	1	0	1
"SVEN_6181"	"hypothetical protein"	7	0	1	2	2	0	2	0	0	0	0	0	0	0	0	0	7	0	1	2	2	0	2	0	0	0	0	0	0	0	0	0
"SVEN_3713"	"Cytochrome d ubiquinol oxidase subunit I"	7	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	3	3	1	1	0	0	0	0	1
"SVEN_2887"	"hypothetical protein"	7	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	1	0	0	0	4	1	1	1	1	0	0	0
"SVEN_5973"	"Phosphate regulon transcriptional regulatory protein PhoB"	7	0	0	2	3	0	2	0	1	0	0	0	1	0	0	0	6	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0
"SVEN_7340"	"secreted protein"	7	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	1	1	1	1	1
"SVEN_5488"	"MFS family multidrug efflux protein"	7	0	0	2	2	1	0	2	0	0	0	0	0	0	0	0	7	0	0	2	2	1	0	2	0	0	0	0	0	0	0	0
"SVEN_1139"	"putative membrane protein"	7	1	2	2	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	4	1	1	1	0	1	0	0
