gene tag	gene_old_tag	gene_start	gene_end	strand	product	closest_match	match_index	match_value	distance	affyLog_8h	affyLog_10h	affyLog_12h	affyLog_14h	affyLog_16h	affyLog_18h	affyLog_20h
SVEN_0023	SMD00426	16182	17123	-	hypothetical protein	0				0.03332183699999991	0.11473853199999873	0.16174726133333284	0.04392126499999893	0.05812290133333331	0.13219736699999984	0.07814563133333241
SVEN_0024	SMD00428	17239	18009	-	hypothetical protein	0				0.10178733733333356	0.08701257333333423	0.24949688299999995	-0.09971679266666555	0.1060021563333331	-0.06143343366666709	0.08177888566666613
SVEN_0025	SMD00429	18104	18547	-	hypothetical protein	0				0.2230673223333337	0.19224418833333345	0.10207195666666635	0.031040699666665894	0.03844222800000008	0.04376319933333406	0.09427338316666756
SVEN_0026	SMD00430.2	18546	18671	+	hypothetical protein	0				0.07143580033333308	-0.0640697750000001	-0.06794691666666619	-0.0019445000000004597	-0.04865591933333402	0.12989597400000008	-0.06442438416666718
SVEN_0027	SMD00433	18724	19293	+	hypothetical protein	0				-0.008324802999998937	0.016069433999999383	0.18097940433333282	0.019739357000000624	-0.07952724033333247	-0.042968721000000265	-0.008234379500000166
SVEN_0028	SMD00434	19360	20823	-	transmembrane efflux protein	0				0.2648335280000005	0.13318555900000018	-0.10186188433333321	-0.020701358666665115	-0.022931619666667125	0.09409340866666582	0.2949585866666675
SVEN_0029	SMD00436	21054	21620	+	Transcriptional regulator%2C TetR family	0				0.14994072400000036	0.20574835966666782	-0.061287513333333266	0.12216051400000083	0.09786017166666738	0.03496618600000012	0.29407205299999895
SVEN_0030	SMD00437	21693	22499	-	Enoyl-CoA hydratase	0				-0.0017714069999996696	0.1746799586666654	0.1414647543333336	-0.00954414633333478	0.05333026599999968	0.2044685639999999	0.0978402618333325
SVEN_0031	SMD00438	22588	23517	-	Transcriptional regulator%2C LysR family	0				0.2966884260000011	0.28506343399999956	0.1309738746666671	0.18858923133333239	0.3521901679999999	0.07468547000000036	0.28301876166666684
SVEN_0032	SMD00441	23610	25046	+	hypothetical protein	0				0.013777833333333156	0.13437229433333364	0.003529556000000156	-0.01995619633333323	0.044484367333332386	-0.16337209100000027	0.00655981616666601
SVEN_0033	SMD00443	25047	26315	+	hypothetical protein	0				0.20515760066666644	0.3111562766666678	0.027743170333334177	0.1563943899999991	0.14836762199999942	0.14065570700000052	0.29172670283333346
SVEN_0034	SMD00444	26480	30376	-	hypothetical protein	0				0.34005075599999923	0.13575696199999943	-0.011932276333332936	-0.8502711546666673	-1.2533371673333331	-0.21457416833333376	0.10079697566666734
SVEN_0035	SMD00445	30489	31148	-	secreted protein	0				0.32495008399999925	0.279137239333334	-0.2168419506666659	-1.515729437000001	-1.0518874036666652	-0.01205351000000121	0.7866961226666662
SVEN_0036	SMD00448	31192	32196	-	hypothetical protein	0				-0.045929867666666624	-0.031912419999999386	-0.06230740266666768	0.275623661	0.27015626000000026	0.18938620566666664	0.15223362766666604
SVEN_0037	SMD00449	32200	32706	-	hypothetical protein	0				0.06008142233333302	0.015514592333333965	-0.288022552666666	1.377725787666666	1.2355317009999993	0.7200235466666669	0.2501772836666669
SVEN_0038	SMD00450	32703	36056	-	TPR repeat protein	0				-0.024001597999999902	-0.051092999333334	-0.1869103609999998	0.631311901000001	0.39841555633333314	0.12615157133333277	0.0590900998333348
SVEN_0039	SMD00454	36420	37151	+	hypothetical protein	0				0.15717622366666717	0.18450190433333358	0.15166689333333316	-0.01799667266666649	-0.15032984733333254	0.022111106000000547	-0.06805737799999978
SVEN_0040	SMD00454.2	37220	37333	+	hypothetical protein	0				-0.08509960033333108	-0.25681820600000016	-0.5133268236666666	-0.23783858566666538	-0.1044675143333329	-0.1423435686666661	-0.022670244833333797
SVEN_0041	SMD00456	37330	38049	+	conserved hypothetical protein	0				-0.01885198033333424	0.2235444883333333	-0.10174947800000034	0.013382280333331664	0.08119726766666702	-0.07805561933333305	0.14095658733333316
SVEN_0042	SMD00457	38208	39962	-	hypothetical protein	0				-0.4124042836666675	1.0689418029999986	0.22737793633333325	0.08260181866666727	0.001570044666666881	-0.04883282600000083	-0.5142445001666669
SVEN_0043	SMD00458	40072	40674	-	hypothetical protein	0				0.05816832333333366	0.03557752033333372	-0.14817028833333445	-0.041920473000000236	-0.032191038666665506	0.11303295833333404	-0.0951039533333331
SVEN_0044	SMD00459	40791	41279	-	putative dioxygenase	0				-0.01082945833333504	0.06090603266666772	0.03820119899999952	-0.038498678666666564	-0.07966474333333284	-0.04391099466666759	-0.03344206466666666
SVEN_0045	SMD00461	41282	42625	-	L-Proline or Glycine betaine transporter ProP	0				0.1255992629999989	0.06362160200000044	-0.008578290999999183	0.05203563766666619	0.05138540233333355	-0.0073694719999997105	0.13063905049999924
SVEN_0046	SMD00463	42707	43888	-	acyl-coenzyme A:6-aminopenicillanic-acid-acyltransferase precursor	0				0.07874970333333309	0.043728117000000566	0.02854194633333318	0.022268157333333427	0.07527480533333275	0.05208740066666717	0.04663485366666631
SVEN_0047	SMD00464	43983	45032	+	transcriptional regulator%2C LacI family	0				-0.000796303333332915	0.045794588666666414	0.12052318466666723	0.053099035333333156	0.007124530999998768	0.14113308599999907	-0.051018409166665
SVEN_0048	SMD00465	45068	45595	-	hypothetical protein	0				0.03719462166666698	0.266382997	0.20925486966666718	0.11485292499999922	0.0315615436666663	0.0078880649999995	0.024223006500000643
SVEN_0049	SMD00466	45609	46718	-	hypothetical protein	0				-0.07591413533333213	0.036028215666666696	0.6655299460000004	-0.05088474566666701	-0.012276399999999299	-0.09477445766666737	-0.07931153766666554
SVEN_0050	SMD00466.2	46828	47199	+	transcriptional regulator%2C MerR family	0				0.057378913000000864	-0.1946578006666666	-0.16366593766666693	0.12829211866666768	-0.06299223899999795	0.13258308866666724	-0.11372740466666631
SVEN_0051	SMD00469	47249	48262	+	Quinone oxidoreductase	0				0.09242593000000099	0.13388725733333295	-0.042796813666666544	0.03598349266666645	-0.013309879000000358	0.06504034233333389	0.02908314866666739
SVEN_0052	SMD00472	48472	51282	+	secreted protein	0				-0.27334902499999814	0.1936022336666703	-0.35493903066666554	-0.04541673100000132	1.6447021553333343	0.9399514363333328	-0.49452790866666607
SVEN_0053	SMD00472.21	51487	51816	-	hypothetical protein	0				0.06708645666666779	-0.19422604233333374	-0.21008205166666638	0.03723108400000097	0.011429756333332541	-0.0783542696666677	0.06564965466666628
SVEN_0054	SMD00472.2	51592	51870	+	hypothetical protein	0				0.20813398733333344	0.06463796366666585	-0.408954836666668	1.0844385603333349	0.5691562716666665	0.496437387666667	0.6691890121666662
SVEN_0055	SMD00474	51863	52915	+	Dimethylallyltransferase%3B Geranyltranstransferase%3B Geranylgeranyl pyrophosphate synthetase	0				0.24307741899999957	0.16540282633333359	-0.3482307076666675	0.7647646159999999	0.5330462259999997	0.37703432399999937	0.5825564068333335
SVEN_0056	SMD00476	53017	54183	+	hypothetical protein	0				0.13995970333333307	-0.11640029066666724	-0.6146014610000003	0.8012305496666663	0.8410595909999996	0.5736489783333338	0.5137851613333329
SVEN_0057	SMD00477	54228	55157	-	hypothetical protein	0				0.08897002800000031	-0.0600719466666666	0.015197631333333739	0.10624245300000013	0.0820413999999996	-0.040181079333334146	-0.024972574000000414
SVEN_0058	SMD00477.2	55057	55197	+	hypothetical protein	0				0.02454623533333411	-0.04851081266666668	-0.1840392883333335	0.06817471966666666	0.03345077166666677	0.11422817966666621	0.12974358516666662
SVEN_0059	SMD00478	55154	56062	-	ABC-type multidrug transport system%2C ATPase component	0				-0.10096477099999834	0.17627117033333306	0.42914826933333305	0.027808037333333147	0.07435078466666667	0.3726785186666648	0.2855082418333339
SVEN_0060	SMD00481	56264	56467	-	cold shock protein	0				-0.06914173066666862	-0.3167372066666694	-0.09577915999999931	0.4194852066666659	0.14821523666666536	0.315718376666668	1.5945263655000002
SVEN_0061	SMD00482	56600	57532	-	putative lipoprotein	0				0.004107223333332577	0.07794129933333327	0.06112884466666735	0.053468226666666396	0.038262203333332856	0.09038676766666764	0.13438539566666652
SVEN_0062	SMD00484	57729	58472	-	hypothetical protein	0				0.11717410766666703	0.09762179266666582	-0.08308417166666615	0.0025230310000008416	0.14474244299999928	0.11923513233333338	0.2971572388333348
SVEN_0063	SMD00485	58469	59047	-	RNA polymerase sigma-70 factor	0				0.02286641599999939	0.06705721400000098	-0.05365993300000049	-0.011828848333332864	-0.043399725000000444	-0.02250487500000098	0.10355762633333221
SVEN_0064	SMD00487	59156	60166	-	putative secreted protein	0				0.23040151100000017	0.23303361000000145	0.05651949100000042	0.045920445333333504	0.09005072733333197	0.07733788566666622	0.15885309916666657
SVEN_0065	SMD00490	60451	61650	+	Extracellular alkaline serine protease 2	0				-0.6358162553333333	0.6319646766666658	0.2569140676666679	-0.18841026966666874	-0.09526437533333443	-0.0041179696666668875	-0.42313778150000037
SVEN_0066	SMD00492	61737	62564	+	hypothetical protein	0				0.010377312000001027	-0.08163405233333343	0.11566777866666733	-0.0064544503333339165	-0.030302707666667317	0.10840626833333467	0.18870704916666714
SVEN_0067	SMD00491	62527	62985	-	hypothetical protein	0				0.2766250206666676	0.23887028266666732	0.17669803400000017	0.2261829793333332	-0.5598319003333314	-1.0497179099999991	0.26553669166666616
SVEN_0068	SMD00493	63087	63983	-	L-fuconolactone hydrolase	0				0.06853161633333205	-0.17989844099999974	-0.02884159766666805	0.1191372063333338	0.13993410766666692	0.1136302140000005	0.06728652816666791
SVEN_0069	SMD00494	63980	64291	-	hypothetical protein	1	39	11.5699	44	-0.005187900000000134	0.17064776033333295	0.0630471340000005	-0.012849170666665799	0.2650375623333332	0.22665986333333255	0.20434451833333434
SVEN_0070	SMD00495	64352	65404	-	L-fuco-beta-pyranose dehydrogenase	0				0.028275187666665147	0.07830342799999901	0.01824354033333364	-0.11107825000000027	0.11672256733333342	-0.003458507333333749	0.00793196200000068
SVEN_0071	SMD00496	65401	66162	-	2-keto-3-deoxy-L-fuconate dehydrogenase	0				-0.05152499633333374	-0.014688256000001232	-0.022602959333332784	-0.06613304233333128	-0.08744034966666536	-0.11619508000000067	-0.08516277983333342
SVEN_0072	SMD00498	66159	67535	-	L-fuconate dehydratase	0				0.05923757000000052	0.11420139066666746	0.09655217066666744	-0.035305953666667556	0.24858861099999974	0.10267482166666753	0.07894695416666675
SVEN_0073	SMD00500	67803	68504	-	Transcriptional regulator%2C GntR family	0				-0.026101950333332624	0.18742904200000066	0.21206824999999974	-0.17890696633333292	0.1168816323333326	-0.1072416399999998	0.028894864499999784
SVEN_0074	SMD00501	68578	70038	-	lyase precursor	0				0.17030309299999935	-0.19707807400000021	0.007287119999999092	0.02000096033333243	0.17392928366666727	0.15015966200000008	0.02256452216666549
SVEN_0075	SMD00503	70155	71465	-	Alpha-L-fucosidase	0				0.029342467333332678	-0.1491914276666657	0.0692823916666665	0.018586155666667104	0.046242801	0.03351571500000006	0.09927657449999927
SVEN_0076	SMD00505	71510	72778	-	Glucarate dehydratase	0				-0.088144636	-0.17288511999999923	-0.04006168033333424	0.11875506900000143	0.0350385676666658	0.03790282500000064	0.02406768200000009
SVEN_0077	SMD00507	72775	73869	-	5-dehydro-4-deoxyglucarate dehydratase	0				0.3760190096666669	0.06341913800000043	-0.06982921833333311	0.21198994666666682	0.060777597333333766	0.14459839033333388	0.16438068949999973
SVEN_0078	SMD00508	73866	74732	-	binding-protein-dependent transport systems inner membrane component	0				0.12488493866666772	-0.059079555333333644	0.1833973560000004	0.26537500533333347	0.10227819266666582	0.016877472333332477	-0.040277842500000105
SVEN_0079	SMD00509	74729	75736	-	binding-protein-dependent transport systems inner membrane component	0				0.24351474900000092	-0.1145524723333331	0.10347862066666558	0.22570594400000044	0.020175986999999118	0.12806029699999932	0.009769654333333655
SVEN_0080	SMD00511	75733	77058	-	putative sugar binding protein	0				0.0637842320000006	-0.27154959233333287	-0.009904281999999931	0.21880747799999867	0.16957204966666684	0.03855757199999843	-0.07470159816666655
SVEN_0081	SMD00512	77423	78445	-	D-3-phosphoglycerate dehydrogenase	0				0.2180507683333328	0.09793463499999966	0.011860014333334945	-0.007731270000000734	0.14303607433333454	-0.056018564666666215	-0.08399596749999994
SVEN_0082	SMD00515	78637	79506	+	2-hydroxyhepta-2%2C4-diene-1%2C7-dioate isomerase or 5-carboxymethyl-2-oxo-hex-3-ene-1%2C7-dioate decarboxylase	0				0.08061046533333371	0.013654697666666493	0.056465285999999004	-0.09839683966666701	-0.0170870256666662	-0.024423328666666855	-0.026667004833333507
SVEN_0083	SMD00516	79520	80137	+	lipase or acylhydrolase family protein	0				0.25363547866666636	0.20545967766666617	0.12854760466666626	-0.05267328466666665	0.12396684833333271	0.05327457666666646	0.07327122550000009
SVEN_0084	SMD00517	80243	80935	-	Hemolysin-type calcium-binding region	0				-0.24978761533333316	0.012653098666667084	-0.11503982600000029	-0.5675621626666665	-0.9532032333333333	-0.24239402399999932	-0.2560236371666669
SVEN_0085	SMD00518	80932	82206	-	hypothetical protein	0				-0.034410814666666845	-0.06585822200000013	-0.15739982200000036	-0.3297544686666667	-0.32095101399999937	-0.040171656000000056	-0.22488529983333283
SVEN_0086	SMD00519	82813	83973	+	secreted peptidase	0				0.1801000996666664	0.040216842999999614	0.032093117666667226	-0.08058072100000047	0.18200812300000013	0.09544873233333284	0.2453477708333338
SVEN_0087	SMD00521	84165	84782	+	2-5 RNA ligase	0				0.009676546666666397	0.04647515600000052	0.06455911800000091	0.004802139999999788	-0.023251842999999717	-0.04740579899999986	-0.005188589166666091
SVEN_0088	SMD00521.2	84880	85572	+	Pterin-4-alpha-carbinolamine dehydratase	0				-0.08099994933333221	0.02501189099999923	-0.04378241266666638	0.07185805333333306	0.03128859100000092	0.05184679633333378	-0.10509878583333254
SVEN_0089	SMD00524	85676	86629	+	Beta-lactamase	0				-0.1498996659999996	-1.8146259313333344	-0.5451472546666665	-0.10248676033333393	0.34789830600000116	-0.09080591566666563	-0.11487266716666689
SVEN_0090	SMD00525	87278	88687	+	UDP-N-acetylmuramoylalanyl-D-glutamyl-2%2C6-diaminopimelate--D-alanyl-D-alanine ligase	0				-0.03819856366666663	-0.23443134766666596	-0.16587177866666636	-0.7389272023333344	-0.5489279913333327	0.011628024000000181	-0.1523176141666669
SVEN_0091	SMD00526	88728	89243	-	hypothetical protein	0				-0.2166556436666669	-0.33949342266666704	-0.05918809799999991	0.3597579486666662	0.16477727299999945	0.12460207366666598	0.04085970333333311
SVEN_0092	SMD00527	89296	91560	-	secreted protein	0				-0.02771039066666603	0.01701222733333374	0.08118846066666663	-0.016732983333333173	-0.008816549666667228	0.013141774333333522	0.21763100800000057
SVEN_0093	SMD00528	91745	92482	-	hypothetical protein	0				0.06563879000000128	-0.06567498333333432	0.04693928799999991	-0.045431199000000255	-0.06019212966666654	-0.03922017866666749	0.06597263933333242
SVEN_0094	SMD00530	92598	93956	+	Nicotinate phosphoribosyltransferase	0				0.12759794766666754	0.09914235866666665	0.0373758603333334	-0.11186223333333345	-0.039377078999999426	-0.4810497533333322	-0.06269492916666763
SVEN_0095	SMD00531	93953	94876	+	Ion transport 2 domain protein	0				0.037514206333333355	-0.023354506666665387	-0.04681904899999978	0.010583480666666922	-0.07596594433333337	-0.17392881200000065	0.11452026949999983
SVEN_0096	SMD00532	94997	95827	-	hypothetical protein	0				0.07782252133333323	0.28877631266666626	0.1032900450000005	0.10877998266666555	0.0034092386666664254	0.07597892266666584	0.11612479283333332
SVEN_0097	SMD00533	95824	96984	-	hypothetical protein	0				-0.03083023233333293	0.16722514766666663	0.21550976533333355	0.032419320999999	0.06334992299999964	0.04647593899999869	0.087370913
SVEN_0098	SMD00535	96984	97787	-	ABC-type multidrug transport system%2C permease component	0				-0.16491412033333486	0.023392145666667474	0.13979116133333402	-0.02299639000000031	0.062171592999999525	-0.020402004666665974	0.05561714599999945
SVEN_0099	SMD00536	97923	98804	+	Transcriptional regulator%2C HxlR family	0				0.07447311366666653	0.08747130100000078	0.14291181899999916	0.11738856633333228	0.2751453676666653	0.007491259000000028	0.003144971333332691
SVEN_0100	SMD00537	99152	100474	+	hypothetical protein	0				-0.41114933100000073	-1.000567288	1.5687059686666665	0.07516542499999979	-0.0351522226666674	0.02153790299999958	-0.868114611666666
SVEN_0101	SMD00539	100965	102275	+	secreted hydrolase	0				0.31947639699999986	-2.1496388646666666	0.21736487533333104	0.7373885446666666	0.7628739976666665	-0.29382246233333476	0.5294779073333338
SVEN_0102	SMD00540	102367	103500	-	monooxygenase_	0				-0.278500498333333	0.9859042953333335	0.26174289966666553	-0.011981072333332676	0.17827937966666596	0.09260543033333413	-0.2542067059999997
SVEN_0103	SMD00541	103567	104133	-	putative ATP or GTP-binding protein	0				-0.17727798233333392	0.8102281966666673	0.3638334486666652	-0.07189155500000055	0.08824127800000081	0.22286709133333282	-0.09722053950000031
SVEN_0104	SMD00542	104139	104558	-	hypothetical protein	0				-0.2807858553333338	0.16151702666666612	0.06328885866666667	-0.10730412833333336	0.028171938333333202	0.02324365166666542	-0.31191968649999957
SVEN_0105	SMD00543	104555	104992	-	hypothetical protein	0				-0.9521597646666669	2.5333956399999993	1.4646040879999997	-0.2356974720000009	0.04217269233333454	-0.058560222999999745	-1.1410358983333326
SVEN_0106	SMD00545	104989	107760	-	putative sensor histidine kinase	0				-0.09745172933333457	0.8660143199999988	0.48143424166666726	0.11208554099999901	0.002495846333332885	0.08941428866666712	0.04956980583333337
SVEN_0107	SMD00546	107855	109630	-	putative serine or threonine protein kinase	0				0.13005031166666559	0.202010226333333	0.35342027966666567	0.01642916366666558	0.32720851799999906	0.18081383566666798	0.1729461910000003
SVEN_0108	SMD00548.2	109772	110110	+	thioredoxin	0				0.02680567266666678	0.0214113523333328	0.04867485699999996	-0.11412851633333432	0.11203718300000087	0.09384909433333455	0.13361180816666707
SVEN_0109	SMD00550	110225	111607	+	Mannan endo-1%2C4-beta-mannosidase precursor	0				-0.14265658900000044	-0.06848341066666652	0.10433810500000007	0.020587475666666855	0.24037271833333307	0.07451941899999959	-0.051340267000000495
SVEN_0110	SMD00551	111698	113296	-	putative hydrolase	0				-0.3159474556666666	-0.4648076956666669	-1.0632686383333336	0.05714961066666646	0.494530597999999	-0.12345621933333373	-0.3311946506666663
SVEN_0111	SMD00553	113473	114483	-	hypothetical protein	0				0.11961205866666713	0.15239598766666607	0.03421351233333425	0.0071871736666668795	-0.0018585986666659338	0.09927300733333233	0.045375822833333856
SVEN_0112	SMD00554	114485	114721	-	hypothetical protein	0				0.09494699366666648	0.04151097333333187	-0.0530656323333325	0.006479640666666064	-0.052449647666666266	0.01886232666666743	-0.08576448933333403
SVEN_0113	SMD00556	114753	115688	-	Flavodoxin reductase	0				0.2718469173333329	0.27392438900000027	0.0431609143333338	0.09964732166666579	0.16098779033333255	0.1436745763333338	0.37459406033333487
SVEN_0114	SMD00556.2	115738	115998	-	probable acetolactate synthase large subunit%2C TPP family	0				0.23774599333333324	0.1421400550000005	0.03714931666666743	-0.12052931566666647	0.02285818633333303	-0.02562380933333408	-0.18856303116666684
SVEN_0115	SMD00558	116035	116502	+	Transcriptional regulator%2C MarR family	0				-0.00818920700000092	-0.19114904300000024	0.005735416000000271	-0.126995074333335	-0.03779852800000061	-0.06906658300000057	-0.25750246533333243
SVEN_0116	SMD00560	116735	118453	+	hypothetical protein	0				0.07039811299999865	0.17489150833333422	0.04662042799999977	-0.04419491633333372	-0.060691283333333956	-0.15957273933333394	0.05162024483333294
SVEN_0117	SMD00561	118633	119139	-	hypothetical protein	0				-0.04052782600000082	-0.9251752930000015	0.20755307766666675	-0.0004411300000004559	-0.31665722833333376	0.46653357100000115	1.4976748079999993
SVEN_0118	SMD00562	119227	119994	-	3-oxoacyl-[acyl-carrier protein] reductase	0				0.06865353133333407	0.16007464366666735	0.15364196633333282	0.08705039233333345	0.107481893000001	0.1130758976666657	0.13588668216666644
SVEN_0119	SMD00563	120176	121099	-	zinc-containing alcohol dehydrogenase%3B quinone oxidoreductase	0				0.06899473666666633	0.04927491300000053	0.17073528466666676	0.056171341666667374	0.018786775666666422	0.07356336666666774	0.2548424889999996
SVEN_0120	SMD00565	121227	122246	+	Transcriptional regulator%2C AraC family	0				-0.06800806933333359	0.2751597486666668	-0.0014646246666671914	-0.1419775886666672	-0.11689762966666528	-0.0371162096666664	-0.11902691183333403
SVEN_0121	SMD00566	122257	122838	-	hypothetical protein	0				-0.008761031666668195	-0.0690085413333339	-0.11743861866666538	0.10698124433333334	0.2170385856666659	0.19273901333333399	0.17824898266666622
SVEN_0122	SMD00569	122969	124198	+	hypothetical protein	0				0.05460797833333331	0.043856584000000254	-0.05410786999999928	-0.14972462633333183	-0.056735937666666736	0.04012705633333269	0.16091571549999895
SVEN_0123	SMD00570	124204	125178	-	Choline or glycine betaine ABC transporter%2Csubstrate binding protein	0				-0.004916477666665919	0.2128434900000009	0.3697509109999988	0.04334815433333361	-0.045463737333332865	0.060960576000000266	-0.022931604166664954
SVEN_0124	SMD00571	125180	127177	-	Choline or glycine betaine ABC transporter%2Cpermease protein	0				0.13127988233333276	0.10896736933333262	0.3059133256666673	0.07879089333333322	0.1474225993333329	0.15968596066666674	0.08289256666666667
SVEN_0125	SMD00573	127248	128363	-	Choline or glycine betaine ABC transporter%2CATP-binding protein	0				0.027520695666666484	0.21415970066666645	0.24658759366666683	-0.027886274999999294	0.03339942133333462	0.06344178733333372	-0.09889865983333301
SVEN_0126	SMD00574	128360	129886	-	Choline dehydrogenase	0				-0.0493955176666665	0.060320343000000776	0.6356029160000016	0.0630561966666674	-0.07743154766666827	-0.09724070999999856	-0.1294919599999993
SVEN_0127	SMD00575	129883	131592	-	Betaine aldehyde dehydrogenase	0				-0.05793236199999896	0.08950484266666514	0.36682071066666566	-0.0594051826666675	-0.007124345333332727	-0.04910326899999973	-0.1154721228333333
SVEN_0128	SMD00576	131720	132217	-	hypothetical protein	0				0.051886612666667276	-0.30832172199999963	0.9331880533333337	0.27049460699999983	0.06774107133333374	-0.41872402100000006	0.42298148183333417
SVEN_0129	SMD00578	132364	132819	+	putative regulator	0				0.2616349840000005	0.25576217466666673	0.8053981900000009	0.2835089556666679	0.37042327433333266	0.4452564789999993	0.38584796499999907
SVEN_0130	SMD00579	132877	133137	+	WhiB transcription regulator	0				0.13479587366666568	0.12316927666666633	0.26780053633333445	0.007879667000000978	0.06340315233333271	0.20015660433333338	0.08543299983333341
SVEN_0131	SMD00580	133237	134190	-	Oxidoreductase%2C aldo or keto reductase family	0				0.12839721966666673	-0.014901296666667285	-0.08901872066666794	-0.1945939713333349	-0.11594764400000024	-0.17714585999999954	-0.017276364166667335
SVEN_0132	SMD00581	134229	134771	-	putative integral membrane protein	0				0.05366393099999911	0.053741792000001176	0.17106004633333338	0.0495609443333338	0.0542979619999997	0.000725129000000102	0.09830608850000022
SVEN_0133	SMD00582	134798	135487	-	secreted protein	0				0.13303724966666763	0.07870843233333336	0.1683638400000005	-0.008142422333332178	-0.053901652666665356	-0.12482945699999881	0.05583146016666696
SVEN_0134	SMD00584	135841	136143	+	putative membrane protein	0				0.19795819466666575	0.1175069646666671	0.04443415400000106	0.05925165133333277	-0.04698147566666755	0.23610890533333428	0.3415879394999992
